TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TRPN3;0.71;;0.44;0.54;0.4;100;71.7;59.29;0.37;-0.36;-0.72;-1.07;0.26;0.59;-6.13;3.61;122.35;90;90.82;0.74;0.26;1.52;-0.48;-0.38;;1.31;1.6;0;32162716
TTEN3;11.15;1.03;9.64;1.88;0.89;14.02;6.37;7.5;11.37;12.99;1.1;0.18;0.72;3.6;-2.59;1.6;19.52;9.2;9.19;0.47;0.53;1.23;;;15521238.56;5.93;1.16;0.32;5556018764
TUPY3;24.91;5.85;7.93;1.16;0.37;17.79;6.67;4.1;4.87;7.99;3.03;0.72;0.32;1.16;-0.95;2.06;14.57;4.62;10.28;0.32;0.68;1.13;22.39;24.17;15259359.23;21.56;3.14;4.56;3591461525
TXRX3;9;;-5.44;-0.11;0.17;26.92;10.05;-3.63;1.97;16.6;15.51;;0.2;-0.19;-0.34;0.37;-2.04;-3.07;-44.45;-1.51;2.51;0.84;20.12;;900;-81.16;-1.65;0.08;21517461
TXRX4;3;;-1.81;-0.04;0.06;26.92;10.05;-3.63;0.66;16.6;15.51;;0.07;-0.06;-0.11;0.37;-2.04;-3.07;-44.45;-1.51;2.51;0.84;20.12;;2226.89;-81.16;-1.65;0.03;21517461
UCAS3;2.48;7.32;9.61;0.85;0.55;34.46;4.87;7.46;14.74;13.42;-1.32;-0.08;0.72;37.16;-0.8;1.05;8.85;5.7;5.06;0.64;0.36;0.76;9.24;;192934.41;2.92;0.26;-0.18;163894182.7
UGPA3;20.47;1.71;16.64;1.89;0.67;5.48;2.33;1.01;7.24;10.13;2.7;0.7;0.17;2.8;-1.29;1.97;11.34;4;9.73;0.35;0.63;3.95;12.42;-2.72;106275484;10.85;1.23;-0.97;22828399670
UNIP3;67;9.37;8.88;2.67;1.19;38.9;24.82;12.5;4.48;4.66;-0.02;-0.01;1.11;5.84;-1.99;2;30.02;13.34;25.49;0.44;0.55;1.07;19.21;20.95;686891.67;25.12;7.54;-0.13;7219837041
UNIP5;79.03;8.82;10.48;3.15;1.4;38.9;24.82;12.5;5.28;4.66;-0.02;-0.01;1.31;6.89;-2.35;2;30.02;13.34;25.49;0.44;0.55;1.07;19.21;20.95;19022.77;25.12;7.54;-0.15;7219837041
UNIP6;70.85;9.75;9.39;2.82;1.25;38.9;24.82;12.5;4.73;4.66;-0.02;-0.01;1.17;6.17;-2.11;2;30.02;13.34;25.49;0.44;0.55;1.07;19.21;20.95;15979034.56;25.12;7.54;-0.14;7219837041
USIM3;6.3;4.74;-21.77;0.34;0.2;8.47;-2.09;-1.27;-13.24;-14.36;-0.58;0.01;0.28;0.59;-0.37;3.43;-1.55;-0.9;-2.06;0.58;0.35;0.71;24.78;9.47;1086365.69;18.71;-0.29;0.2;7856051091
USIM5;6.23;5.28;-21.52;0.33;0.19;8.47;-2.09;-1.27;-13.09;-14.36;-0.58;0.01;0.27;0.58;-0.37;3.43;-1.55;-0.9;-2.06;0.58;0.35;0.71;24.78;9.47;71047724.87;18.71;-0.29;0.2;7856051091
USIM6;16.31;2.02;-56.35;0.87;0.51;8.47;-2.09;-1.27;-34.27;-14.36;-0.58;0.01;0.72;1.53;-0.96;3.43;-1.55;-0.9;-2.06;0.58;0.35;0.71;24.78;9.47;3262;18.71;-0.29;0.53;7856051091
VALE3;67.57;5.98;6.45;1.61;0.69;40.12;31.07;23.03;4.78;5.29;0.78;0.26;1.49;59.53;-0.82;1.08;24.99;10.66;21.26;0.43;0.56;0.46;15.85;21.94;1662104488;41.9;10.47;-0.12;3.06701E+11
VAMO3;7.68;3.63;12.47;2.17;0.46;43.44;33.78;11.48;4.24;9.02;4.58;2.34;1.43;3.56;-0.62;2;17.38;3.7;13.6;0.21;0.79;0.32;64.03;53.16;91878590.1;3.54;0.62;0.33;8481212690
VBBR3;20.08;4.08;32.54;1.83;0.59;3.2;1.3;0.42;10.43;15.76;5.01;0.88;0.14;1.85;-1.22;2.64;5.61;1.82;7.32;0.32;0.68;4.35;16.5;-8.98;163852313.2;11;0.62;-0.45;23393200000
VITT3;9.9;3.33;11.18;2.52;1.67;39.73;19.32;16.68;9.65;10.97;1.12;0.29;1.87;4.61;-4.11;2.55;22.53;14.9;16.97;0.66;0.34;0.89;;;3297378.31;3.93;0.89;2.1;1416186159
VIVA3;25.3;1.44;15.96;3.31;2.01;69.78;21.01;18.83;14.3;14.83;0.03;0.01;3.01;5.3;-4.89;2.81;20.76;12.6;20.4;0.61;0.39;0.67;;;60372894.87;7.64;1.59;2.13;5975803556
VIVR3;3.41;;-1.26;4.37;0.25;28.15;-59.45;-57.23;-1.22;-1.28;-0.03;0.13;0.72;5.75;-0.5;1.09;-346.16;-19.63;-129.26;0.06;0.94;0.34;83.05;;1183610.56;0.78;-2.7;-0.05;80737011.63
